設計ポイント	条件ID	フロー	マイルストーン	満たすべきこと（実装の到達点）	MVP区分	崩れると起きること	仕様の該当箇所
③ 同じ人を二重に作らない	AC-054	2 / 4	M4	新規管理者の担当店舗が正しく入る	リリース必須	新規管理者に担当店舗が入らず、何も管理できない	README §7.1
④ 入口で止める	AC-011	2 / 4	M1	上限を超えたファイルを受け付けない	MVP必須	**上限超過のまま処理が走り、タイムアウトや部分登録が起きる**	README §7.5
④ 入口で止める	AC-012	2 / 4	M1	壊れたファイルを受け付けない	MVP必須	**壊れたファイルがプレビューまで進み、意味不明なエラーが大量に出る**	README §9.5
④ 入口で止める	AC-013	2 / 4	M1	拒否されたファイルが一覧に残らない	リリース必須	拒否されたファイルが残り、取り込んだと誤解する	README §9
④ 入口で止める	AC-033	2	M3	0件では実行できない	リリース必須	0件で実行でき、「完了」と出て顧客が混乱する	README §9.4
⑤ 判定を隠さない	AC-021	2	M2	取り込み前に内容と判定を確認できる	MVP必須	**何が登録されるか分からないまま実行させることになる。** 確認画面がこの機能の要	フローA【2】
⑤ 判定を隠さない	AC-022	2	M2	エラー行が理由とともに分かる	MVP必須	**なぜ取り込めないのか分からず、顧客が問い合わせる**	フローC
⑤ 判定を隠さない	AC-032	2	M3	二重に実行されない	MVP必須	**二重登録される。** 取り返しがつかない	README §9.1
⑤ 判定を隠さない	AC-042	2	M3	取り込まれなかった行が分かる	MVP必須	**除外した行を忘れる。** 登録されたつもりで運用が始まる	README §7.7
⑤ 判定を隠さない	AC-031	2	M3	実行中であることが分かる	リリース必須	固まったと思って離脱・再実行される	README §9.1
⑤ 判定を隠さない	AC-041	2	M3	結果が件数で分かる	リリース必須	成功したのか失敗したのか分からない	フローA【4】
⑤ 判定を隠さない	AC-047	2	M3	招待メールを送信できる	リリース必須	登録しても誰もログインできない	フローA【4】
⑤ 判定を隠さない	AC-026	2	M2	①〜③と④⑤でタブの役割が異なる	改善	タブの役割が種別と判定で混在し、読み違える	仕様書 7.2
⑤ 判定を隠さない	AC-034	2	M3	実行中の離脱を警告する	改善	実行中に離脱され、途中状態になる	README §9.2
⑤ 判定を隠さない	AC-037	2	M2	判定の凡例が邪魔をしない	改善	凡例が常時出て一覧が読みにくい	仕様書 4.2
⑤ 判定を隠さない	AC-045	2	M3	次にやることが案内される	改善	次に何をすればいいか分からず、複数店舗の設定が漏れる	README §9.7
⑤ 判定を隠さない	AC-048	2	M3	インポート履歴が残る	改善	いつ何を取り込んだか追えない	README §9.6
⑥ 順序と依存	AC-016	2	M1	取り込み順序が守られている	MVP必須	**参照先が未登録で全行エラーになる。** 顧客は原因が分からない	README §1.3
⑥ 順序と依存	AC-051	2	M4	テンプレートの全列が反映される	MVP必須	**列が取りこぼされ、登録したはずの情報が入っていない**	README §4.4
⑥ 順序と依存	AC-027	2	M2	設定マスタの重複が自動で除外される	リリース必須	同じ業態が2件登録され、以後の参照が壊れる	README §4.1
⑥ 順序と依存	AC-028	2	M2	名称の突合が一意でない場合はエラー	リリース必須	同名の業態のどちらに紐づくか不定になり、店舗が誤った業態に入る	README §4.5-6
⑥ 順序と依存	AC-064	4	M5	雇用区分はコード優先で突合される	リリース必須	突合キーを取り違え、別レコードが増える	README §8.6
⑥ 順序と依存	AC-036	2	M2	名称突合で前後空白が無視される	改善	前後の空白で引き当てに失敗する。Excelの貼り付けで頻出	README §4.5-6
⑦ 値の妥当性	AC-015	2	M2	給与体系は時給・月給のみ	MVP必須	**DB制約違反で登録が落ちる。** enumは時給・月給の2値	README §0.5／§8.10
⑦ 値の妥当性	AC-052	2	M4	コードが自動採番される	MVP必須	**コードが重複してDB制約違反になる。** 全社横断でユニーク	README §8.1
⑦ 値の妥当性	AC-091	2 / 4	M2	金額の範囲が守られる	MVP必須	**0円や桁溢れがDBに入る。** 給与計算が壊れる	README §4.5-2
⑦ 値の妥当性	AC-093	2 / 4	M2	文字数の上限が守られる	MVP必須	**DBの桁を超えて登録に失敗する。** どの行かも分からない	README §4.5-4
⑦ 値の妥当性	AC-094	2 / 4	M2	形式チェックが働く	MVP必須	**誤ったメールアドレスに招待が飛ぶ。** 本人はログインできない	README §4.5
⑦ 値の妥当性	AC-029	2 / 3	M2	④従業員の店舗名は単一である（複数はエラー）	リリース必須	複数店舗を書いて取り込めず、原因が分からない	README §8.3
⑦ 値の妥当性	AC-030	2 / 4	M2	金額が正しく解釈される	リリース必須	「200,000」がエラーになり、顧客が原因を特定できない	README §4.5-3
⑦ 値の妥当性	AC-092	2 / 4	M2	時間の範囲が守られる	リリース必須	契約労働時間0で登録され、残業計算が破綻する	README §4.5-3
⑦ 値の妥当性	AC-056	2	M4	従業員コードを指定できる	改善	顧客の既存コード体系を持ち込めない	README §8.1
⑧ 権限の境界	AC-072	2 / 4	M6	管理者は従業員と管理者のみ	MVP必須	**店長が全社マスタを書き換えられる。** 他店舗に影響が及ぶ	フローF
⑧ 権限の境界	AC-073	2 / 4	M6	管理者は担当店舗の範囲に限られる	MVP必須	**店長が他店舗の従業員を登録できる。** 権限設計が破綻する	フローF
⑧ 権限の境界	AC-071	2 / 4	M6	オーナーは5種別すべて取り込める	リリース必須	オーナーが必要な種別を取り込めない	フローF
⑧ 権限の境界	AC-076	2 / 4	M6	店長が担当店舗の従業員を取り込める	リリース必須	店長が自店舗の従業員すら登録できず、機能が使えない	フローF
⑨ 手入力との分担	AC-057	3	M6	インポートが案内する出口が塞がっていない	MVP必須	**インポートの仕様が成立しない。** 「できないこと」の受け皿が無くなる	仕様書「インポート単体では成立しない仕様」
⑨ 手入力との分担	AC-059	3	M6	インポートしたデータが手入力で扱える	MVP必須	**取り込んだデータを後から直せない。** 運用が回らない	仕様書「操作ごとの対応」
⑨ 手入力との分担	AC-058	1 / 3	M6	登録経路によるスキーマの差異が無い	リリース必須	経路によって項目が欠落し、データが揃わない	owner-mock §3.4.1
⑨ 手入力との分担	AC-067	3	M6	削除後に再インポートできる	リリース必須	削除の残骸が残り、再取り込みできない	仕様書「削除について」
⑨ 手入力との分担	AC-069	4	M6	戻った先の一覧が最新である	リリース必須	取り込めたのに一覧が古く、失敗したと誤解する	仕様書「連携要件C」
⑨ 手入力との分担	AC-068	1 / 3	M6	手入力とインポートで同じデータが作れる	改善	手入力とインポートで作れるデータが違ってしまう	owner-mock §3.4.1
⑩ 入口と戻り先	AC-009	4	M1	設定画面から方式選択なしで該当画面に着く	リリース必須	設定画面のリンクを踏んでも方式選択が再度出る。**パラメータ名が2つの仕様で食い違っている（要確定）**	仕様書「連携要件A」
⑩ 入口と戻り先	AC-010	4	M1	入口ごとに正しい場所へ戻る	リリース必須	元の作業に戻れず、運用で使われなくなる	仕様書「入口と取り込み範囲」
⑩ 入口と戻り先	AC-006	4	M1	インポート方式を再設定できる	改善	方式を選び直せず、間違えるとやり直しになる	README §9
⑪ 配布物	AC-001	2	M1	テンプレートを5種類ダウンロードできる	MVP必須	**テンプレートが文字化けし、そもそも入力できない**	README §9.5
⑪ 配布物	AC-002	2	M1	配布テンプレートのサンプル行にコードが入っていない	MVP必須	**サンプルのコードが他社と衝突する。** 全社横断でユニークなため	README §8.1
⑪ 配布物	AC-003	2	M1	⑤管理者に権限を選ぶ列が無い	リリース必須	存在しない権限列を顧客が埋め、混乱する	README §7.4
⑪ 配布物	AC-004	2	M1	②店舗の営業時間が1列である	リリース必須	列構成がDBと合わず取り込めない	README §7.3
⑫ 対象外	AC-081	2 / 4	—	外部勤怠サービスインポートは対象外	—	凍結中の機能を実装対象と誤解する	README §2（凍結）
⑫ 対象外	AC-082	2 / 4	—	補完テンプレート・デフォルト値設定は対象外	—	外部勤怠専用の機能を実装対象と誤解する	README §2（凍結）
⑬ 検証の前提	AC-005	2	—	検証環境と初期データが整っている	—	本番に接続する／既存データが混ざり判定が読めない	仕様書 8.1
⑬ 検証の前提	AC-007	2	—	新規登録と運用更新を分けて検証する	—	5分岐や重複時の処理が発生せず、検証にならない	仕様書「新規登録と運用更新の違い」
⑬ 検証の前提	AC-008	2	—	モックで期待動作を確認できる	—	期待動作の基準が無く、合否を判断できない	モック
⑥ 順序と依存	AC-101	1	M1	手入力でも登録順序が守られる	MVP必須	**参照先が無い状態で登録され、データが繋がらない。** インポートの順序依存と同じ問題	owner-mock §5.3 順序ガード
⑥ 順序と依存	AC-102	1	M1	登録済みステップを再編集できる	リリース必須	入力を間違えたときに戻れず、最初からやり直しになる	owner-mock §5.3
⑩ 入口と戻り先	AC-103	1 / 3	M1	4項目完了で運用更新モードに切り替わる	MVP必須	**運用開始後も初期セットアップ画面が出続ける。** 順序ガードが残り、追加登録ができない	owner-mock §3.3
⑩ 入口と戻り先	AC-104	1 / 3	M1	モードによって登録後の誘導が変わる	リリース必須	運用中に中央モーダルが出ると作業が止まる。初期にトーストだと次へ進めず離脱する	owner-mock §6
⑨ 手入力との分担	AC-105	1 / 3	M2	登録モーダルが新規と編集で出し分けられる	MVP必須	**編集で開いたのに前回の入力が残る、または新規で開いたのに既存が出る。** 誤ったデータを上書きする	owner-mock §3.4.2
⑥ 順序と依存	AC-106	1	M2	マスタ参照のプルダウンが登録済みから生成される	MVP必須	**未登録の業態や店舗を選べてしまい、存在しない参照ができる。** または登録したのに選べない	owner-mock §3.4.3
⑨ 手入力との分担	AC-107	3	M6	一覧の各行から編集・削除ができる	MVP必須	**登録した内容を直せない・消せない。** インポートの出口も塞がる	owner-mock §3.3.1
⓪ 導入が通しで完了する	AC-108	1	M3	手入力だけで初期セットアップを完了できる	MVP必須	**CSVを使わない顧客がセルフスタートできない。** 導入の障壁を下げる機能として成立しない	owner-mock §3.3／仕様書 1.1
③ 同じ人を二重に作らない	AC-109	1 / 3	M3	同じメールアドレスで二重に招待されない	MVP必須	**同じ人に2通の招待が届き、パスワード設定URLが2つできる。** 利用者が混乱し、アカウントが分裂する	owner-mock §16 アカウント衝突回避
⑥ 順序と依存	AC-110	1	M1	業態は名前を入力して作成する	リリース必須	CSVテンプレート①と食い違い、経路によって作れるデータが変わる	owner-mock §3.4.2／README §1.2
⑤ 判定を隠さない	AC-111	1	M1	初期セットアップの進捗が見える	リリース必須	残りが分からず離脱する	owner-mock §5.1
⓪ 導入が通しで完了する	AC-112	1	M1	手入力での新規登録ができる	MVP必須	**セルフスタートの入口が動かない。** CSVインポートも同じ画面から入るため全体が止まる	owner-mock §3.3.2
⑨ 手入力との分担	AC-113	3	M6	運用中は順序の制限なく手入力で追加できる	MVP必須	**1人だけ増えたときにCSVを作らせることになる。** 日常運用の大半は1〜2件の追加。運用更新モードには順序ガードが無く、どの種別からでも追加できる必要がある	owner-mock §3.3.1／仕様書「ケース別の遷移フロー（手入力）」
② 取り返しがつく	AC-114	2 / 4	M2	セットアップ中に取り込み直せる	MVP必須	**導入作業の途中で誤りに気づいても直せない。** 最初からやり直しになり、導入で離脱する	フローC／フローH／仕様書「新規登録と運用更新の違い」
