条件ID	MVP区分	マイルストーン	満たすべきこと	実装箇所（画面・機能）	合致していると言える状態	確認方法	根拠（検証ID）	実装状況	検証結果	判定	確認日	メモ
AC-047	リリース必須	M3	招待メールを送信できる	完了	新規登録者にのみ送信（既存者・スキップ判定者への送信＝0件）	動作確認（検証プラン）	OP-505					
AC-026	改善	M2	①〜③と④⑤でタブの役割が異なる	プレビュー	①〜③＝種別タブ、④⑤＝判定タブ。タブ構成の取り違え＝0件	動作確認（検証プラン）	OP-301					
AC-034	改善	M3	実行中の離脱を警告する	実行中	実行中にタブを閉じようとすると警告が出る（警告なしで閉じられた回数＝0回）	動作確認（検証プラン）	OP-401					
AC-037	改善	M2	判定の凡例が邪魔をしない	プレビュー	「判定の見方」が既定で閉じている（開いた状態で表示される画面＝0件）	動作確認（検証プラン）	OP-308					
AC-045	改善	M3	次にやることが案内される	完了	完了画面に「次にやること」が表示される（案内が出ない完了画面＝0件）	動作確認（検証プラン）	OP-501					
AC-048	改善	M3	インポート履歴が残る	完了	取り込み完了後、トップに履歴が1件増える	動作確認（検証プラン）	OP-501					
AC-016	MVP必須	M1	取り込み順序が守られている	プレビュー	プレビューに3件が「新規」と表示される／②の所属業態が引き当てられずエラーになる	動作確認（検証プラン）	OP-201 / OP-202					
AC-051	MVP必須	M4	テンプレートの全列が反映される	業態設定 / 従業員一覧 / 管理者一覧	3種類とも件数と内容が一致する。②は5列、③は6列すべてが入っている／氏名・電話番号・メール・雇用区分・店舗・交通費が反映されている／EMP- で始まるコードが自動で採番されている／管理者として登録され、担当店舗が設定されている	動作確認＋DB確認	OP-601 / OP-604 / OP-605 / OP-606					
AC-027	リリース必須	M2	設定マスタの重複が自動で除外される	プレビュー / 業態設定	重複が自動で除外され、1件として登録される／3件として登録される	動作確認（検証プラン）	OP-108 / CA-056					
AC-028	リリース必須	M2	名称の突合が一意でない場合はエラー	プレビュー	DB側に同名の業態が2件ある状態で取り込む → その行＝エラー（誤って紐づく件数＝0件）	動作確認（検証プラン）	OP-312					
AC-064	リリース必須	M5	雇用区分はコード優先で突合される	雇用区分設定	コード指定時はコードで突合（新規作成＝0件）。空欄時は名称で突合（新規作成＝0件）	動作確認（検証プラン）	OP-705					
AC-036	改善	M2	名称突合で前後空白が無視される	プレビュー	「 飲食店 」（前後空白）で取り込む → 引き当て成功。エラー＝0件	動作確認（検証プラン）	OP-312					
AC-015	MVP必須	M2	給与体系は時給・月給のみ	プレビュー	給与体系「日給」の行＝エラー。取り込まれた件数＝0件	動作確認（検証プラン）	OP-218					
AC-052	MVP必須	M4	コードが自動採番される	従業員一覧	コード空欄5件 → 5件すべてに EMP- で始まるコードが付与され、重複＝0件	動作確認＋DB確認	OP-605 / CA-071					
AC-091	MVP必須	M2	金額の範囲が守られる	プレビュー	0はエラー（1以上）。99999999.99は登録できる。100000000はエラー	動作確認（検証プラン）	CA-016					
AC-093	MVP必須	M2	文字数の上限が守られる	従業員一覧 / プレビュー	100文字は登録できる。101文字はエラー／いずれもエラーになり、列名と上限がメッセージに出る	動作確認（検証プラン）	CA-031 / CA-033					
AC-094	MVP必須	M2	形式チェックが働く	プレビュー / 店舗設定 / 従業員一覧	エラー行として赤く表示され、「メールアドレスの形式が正しくありません」と理由が出る。取り込まれない／前2つは登録できる。3つ目はエラー／全角ハイフンは半角に正規化される。英字混じりはエラー	動作確認（検証プラン）	CA-036 / CA-041 / CA-044					
AC-029	リリース必須	M2	④の店舗名は単一である	プレビュー / 従業員一覧	複数指定は受け付けられない（1店舗として扱われるかエラー）／2店舗の所属になる	動作確認（検証プラン）	OP-311 / OP-608					
AC-030	リリース必須	M2	金額が正しく解釈される	雇用区分設定 / プレビュー	どちらも 200000 として登録される／エラー。「金額は半角数字で入力してください」	動作確認（検証プラン）	CA-014 / CA-015					
AC-092	リリース必須	M2	時間の範囲が守られる	プレビュー / 雇用区分設定	0と1000はエラー。160は登録できる／0と999は登録できる。1000はエラー。「20時間」は単位付きのためエラー	動作確認（検証プラン）	CA-021 / CA-024					
AC-056	改善	M4	従業員コードを指定できる	従業員一覧	コード指定した行は指定値のまま登録（書き換わった件数＝0件）	動作確認（検証プラン）	CA-071					
AC-072	MVP必須	M6	管理者は従業員と管理者のみ	インポート	オーナーは5種類すべて。店長は①②③が表示されず、④⑤のみ	動作確認（検証プラン）	OP-801					
AC-073	MVP必須	M6	管理者は担当店舗の範囲に限られる	プレビュー	担当外の店舗を含む行＝エラー。取り込まれた件数＝0件	動作確認（検証プラン）	OP-803					
AC-071	リリース必須	M6	オーナーは5種別すべて取り込める	インポート	オーナーは5種類すべて。店長は①②③が表示されず、④⑤のみ	動作確認（検証プラン）	OP-801					
AC-076	リリース必須	M6	店長が担当店舗の従業員を取り込める	プレビュー／従業員一覧	担当店舗のみのファイル → 全行が登録される（エラー＝0件）	動作確認（検証プラン）	OP-804					
AC-057	MVP必須	M6	インポートが案内する出口が塞がっていない	従業員一覧	値の削除・担当店舗変更・退職者の復帰の3操作すべてが実行できる（実行できない操作＝0件）	動作確認（検証プラン）	OP-609					
AC-059	MVP必須	M6	インポートしたデータが手入力で扱える	従業員一覧	編集・削除の2操作とも実行できる（実行できない操作＝0件）	動作確認（検証プラン）	OP-615					
AC-058	リリース必須	M6	登録経路によるスキーマの差異が無い	各設定画面	手入力の登録モーダルとCSVテンプレートで入力項目が一致する	実装レビュー（登録モーダルとテンプレートの項目突合）	OP-612					
AC-067	リリース必須	M6	削除後に再インポートできる	プレビュー／従業員一覧	削除した対象を再取り込み → 判定が「新規登録」（エラー・スキップ＝0件）	動作確認（検証プラン）	OP-617					
AC-069	リリース必須	M6	戻った先の一覧が最新である	完了画面	戻った先の一覧に取り込んだ件数が反映されている（反映漏れ＝0件）	動作確認（検証プラン）	OP-009					
AC-068	改善	M6	手入力とインポートで同じデータが作れる	各設定画面	登録できる。入力できる項目がテンプレートの列と一致する	動作確認（検証プラン）	OP-612					
AC-009	リリース必須	M1	設定画面から方式選択なしで該当画面に着く	業態設定→インポート	設定画面から起動 → 方式選択画面の表示回数＝0回（該当画面へ直行）	動作確認（検証プラン）	OP-008					
AC-010	リリース必須	M1	入口ごとに正しい場所へ戻る	完了画面	3経路それぞれで戻り先が正しい（誤った戻り先＝0件）	動作確認（検証プラン）	OP-009					
AC-006	改善	M1	インポート方式を再設定できる	業態設定→インポート	トップから方式を選び直せる（選び直せない＝不合格。再設定の成功＝1回で可）	動作確認（検証プラン）	OP-008					
AC-001	MVP必須	M1	テンプレートを5種類ダウンロードできる	インポート	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	動作確認（検証プラン）	OP-101					
AC-002	MVP必須	M1	配布テンプレートのサンプル行にコードが入っていない	インポート	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	実装レビュー（配布テンプレート）	OP-101					
AC-003	リリース必須	M1	⑤管理者に権限を選ぶ列が無い	インポート	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	実装レビュー（配布テンプレート）	OP-101					
AC-004	リリース必須	M1	②店舗の営業時間が1列である	インポート	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	実装レビュー（配布テンプレート）	OP-101					
AC-081	—	—	外部勤怠サービスインポートは対象外	インポートのトップ	3つとも凍結の案内が出る、または実装対象外として案内されない	実装レビュー（対象外の確認）	OP-901					
AC-082	—	—	補完テンプレート・デフォルト値設定は対象外	補完テンプレート／プレビュー	3つとも凍結の案内が出る、または実装対象外として案内されない	実装レビュー（対象外の確認）	OP-901					
AC-005	—	—	検証環境と初期データが整っている	ログイン	ダッシュボードが表示される。5種類すべてが0件。方式がテンプレートになっている	実装レビュー（検証の前提）	OP-001					
AC-007	—	—	新規登録と運用更新を分けて検証する	ログイン	ダッシュボードが表示される。5種類すべてが0件。方式がテンプレートになっている	実装レビュー（検証の前提）	OP-001					
AC-008	—	—	モックで期待動作を確認できる	モック（公開URL）	テンプレート側の画面が操作でき、外部勤怠側19画面に凍結バナーが出る	実装レビュー（モック）	OP-007					
AC-101	MVP必須	M1	手入力でも登録順序が守られる	初期セットアップ	未到達のステップで登録できた件数＝0件（警告バナーが出てボタンが押せない）	動作確認（検証プラン）	OP-022					
AC-102	リリース必須	M1	登録済みステップを再編集できる	初期セットアップ	登録済みステップを開くと再編集モードで開き、追加登録できる（開けない件数＝0件）	動作確認（検証プラン）	OP-023					
AC-103	MVP必須	M1	4項目完了で運用更新モードに切り替わる	各設定画面	done>=4 で *-settings を開くと *-ops-settings へ転送される（転送されない＝不合格）	動作確認（検証プラン）	OP-025					
AC-104	リリース必須	M1	モードによって登録後の誘導が変わる	初期セットアップ／各設定画面	新規登録モード＝中央CTAモーダル。運用更新モード＝右上トースト（8秒）	動作確認（検証プラン）	OP-024 / OP-029					
AC-105	MVP必須	M2	登録モーダルが新規と編集で出し分けられる	各設定画面	新規＝空1行・複数行追加あり・一時保存あり・主ボタン「登録（N件）」／編集＝プリフィル・複数行なし・一時保存なし・主ボタン「更新」（食い違い＝0件）	動作確認（検証プラン）	OP-027					
AC-106	MVP必須	M2	マスタ参照のプルダウンが登録済みから生成される	各設定画面	登録すると選択肢に出現し、削除すると消える（削除後に残る件数＝0件）	動作確認（検証プラン）	OP-026					
AC-107	MVP必須	M6	一覧の各行から編集・削除ができる	各設定画面	全行に[編集][削除]がある（無い行＝0件）。削除は確認ダイアログの後に消える	動作確認（検証プラン）	OP-028					
AC-108	MVP必須	M3	手入力だけで初期セットアップを完了できる	初期セットアップ（通し）	CSVを使わず①〜④を登録し、4項目完了・運用更新モードへ切替・招待メール送信までできる	動作確認（検証プラン）	OP-031					
AC-109	MVP必須	M3	同じメールアドレスで二重に招待されない	従業員一覧／管理者一覧／メール	従業員と管理者の両方で登録しても招待メール＝1通（2通目＝0通）。1アカウントに両方の権限が付く	動作確認（検証プラン）	OP-032					
AC-110	リリース必須	M1	業態は名前を入力して作成する	業態設定	業態名がテキスト入力である（プルダウンでの選択のみ＝不合格。テキスト入力欄＝1個）	実装レビュー（登録モーダル）	OP-030					
AC-111	リリース必須	M1	初期セットアップの進捗が見える	初期セットアップ	完了ステップ数（0〜4）と各ステップの登録件数が表示される（表示されない項目＝0件）	動作確認（検証プラン）	OP-033					
AC-112	MVP必須	M1	手入力での新規登録ができる	初期セットアップ／業態設定	初期セットアップから①業態を3件登録でき、登録済み件数＝3件と表示される	動作確認（検証プラン）	OP-021					
