区分	項目	内容	補足
10 スプレッドシート	入力規則（実装状況）	○ / △ / ×	
10 スプレッドシート	入力規則（判定）	合格 / 不合格	
10 スプレッドシート	MVP必須の合格数	=COUNTIFS(確認表!C:C,"MVP必須",確認表!L:L,"合格")	
10 スプレッドシート	MVP必須の総数	=COUNTIF(確認表!C:C,"MVP必須")	
10 スプレッドシート	M1の達成度	=COUNTIFS(確認表!D:D,"M1",確認表!C:C,"MVP必須",確認表!L:L,"合格")	M1をM2〜M6に変えて使う
11 関連ファイル	20260804_受け入れ条件_定義表.tsv	何を守るか・なぜか（88件）	
11 関連ファイル	20260804_受け入れ条件_確認表.tsv	実装が条件に合致しているかの判定（88件）	
11 関連ファイル	20260804_実装マイルストーン表.tsv	M1〜M6の実装順序と完了条件	
11 関連ファイル	20260803_検証プラン_操作系.tsv	操作する検証（66件）	
11 関連ファイル	20260803_検証プラン_計算系.tsv	数値・上限の検証（19件）	
11 関連ファイル	20260803_検証用データセット.tsv	検証に使うデータ（36件）	D0は事前準備、D1〜D5はCSVに入力する値
11 関連ファイル	20260803_CSV一括登録機能_仕様書（PdM向け）.md	設計意図。§8.2 に判断基準	
11 関連ファイル	モック（CSVインポート）	https://suguru789987.github.io/rakmy-timerecord-import-spec/	
11 関連ファイル	モック（手入力）	https://suguru789987.github.io/rakmy-owner-registration-mock/	
