段階	検証ID	フロー	検証内容	初期設定（前提データ）	操作・前提条件	期待挙動（判定基準）	スクショファイル名	証跡（撮る画面と状態）	画面（どこを開いて操作するか）	確認ポイント	対応する条件ID	ヘルプ該当箇所	実際の値	判定	根拠・備考
P3_プレビュー	OP-303	2	エラー行の表示	前提データ: D2-3（池袋店／郵便番号 空欄）	②店舗で郵便番号を空欄にした行を含めて取り込む	該当行が赤くハイライトされ、上部にエラー理由のバナーが出る。エラー行に編集ボタンは無く、画面上で直せない	OP-303_エラー行の表示.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	**画面で直させない（J-029）。** 直すのは元CSV。プレビューを編集画面にしない	AC-023 / AC-022	11番 一部の行にエラーがある場合（赤く表示・画面上では直せません）			
P3_プレビュー	OP-304	2	名称の引き当て失敗	前提データ: D2-4・D4-7	②の所属業態に未登録の業態名、④の雇用区分名に未登録の名称を入れる	どちらもエラー行になり「〇〇が登録されていません。先に①（③）を取り込んでください」と表示される	OP-304_名称の引き当て失敗.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	引き当て失敗は取り込まない。順序の依存を示すメッセージであること	AC-022	11番 よくあるエラー（〇〇が登録されていません）			
P3_プレビュー	OP-306	2	エラー行CSVのダウンロード	前提データ: なし	エラー行があるプレビューで「エラー行をCSVでダウンロード」を押す	元テンプレートと同じ列＋末尾に「エラー理由」列のファイルが落ちる	OP-306_エラー行CSVのダウンロード.png	ダウンロードしたエラー行CSVをExcelで開いた画面（末尾のエラー理由列が読めること）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	Excelで開いて文字化けしないこと（BOM付きUTF-8）	AC-024 / AC-114	11番 一部の行にエラーがある場合（エラー行をCSVでダウンロード）			
P3_プレビュー	OP-307	2	エラー行CSVで修正して再取り込み	前提データ: OP-306 で出力したエラー行CSV（理由列を削除して使う）	OP-306で落としたCSVの誤りを直し、理由列を削除して再アップロードする	エラーが解消され、全件が取り込める状態になる	OP-307_エラー行CSVで修正して.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	元CSVを直して再アップする運用が成立すること	AC-024 / AC-114	11番 一部の行にエラーがある場合（直し方1〜5）			
P3_プレビュー	OP-308	2	管理者データの判定	前提データ: D5／D5-1・D5-4	⑤管理者に、未登録・在籍済み・招待未承諾・既に管理者の4パターンを入れる	新規登録・権限付与・差し替え・スキップに正しく振り分けられる。「判定の見方」は既定で折りたたまれている	OP-308_管理者データの判定.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	メールアドレスで突合すること／同じ人のアカウントが2つできないこと	AC-025 / AC-037	8番 管理者の判定について（新規登録・権限付与・差し替え・スキップ）			
P3_プレビュー	OP-310	2	退職者の突合	前提データ: D0-1／退職済み従業員と同じ従業員コード	退職済み従業員と同じ従業員コードで④を取り込む	「退職済みの従業員と同じ従業員コードです」とエラーになり取り込まれない	OP-310_退職者の突合.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	自動で復活しないこと	AC-035	11番 よくあるエラー（退職済みの従業員と同じ従業員コード） ／ 12番 退職した方を復帰させたい			仕様§8.9
P4_実行	OP-401	2	実行中の挙動	前提データ: なし	プレビューで実行を押し、続けて複数回押す。実行中にタブを閉じようとする	進捗が表示される。二重に登録されない。離脱しようとすると警告が出る	OP-401_実行中の挙動.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面で「インポート実行」を押した直後の実行中表示（s-tpl2 → s-tpl3 の間）	二重登録は取り返しがつかない	AC-032 / AC-031 / AC-034	9番 取り込みを実行する			
P4_実行	OP-404	2	取り込み対象0件	前提データ: D2-3・D2-4（全行がエラーになる②店舗）	全行がエラーになるファイルを取り込む	実行ボタンが押せない状態になり「取り込めるデータが1件もありません」と表示される	OP-404_取り込み対象0件.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	0件で実行できないこと	AC-033	11番 ファイルが受け付けられない場合（取り込めるデータが1件もありません）			仕様§9.4
P5_完了	OP-501	2	全件成功の完了画面	前提データ: D1（①業態3件。エラーの無いファイル）	エラーの無いファイルを取り込む。完了後にインポートのトップ画面を開く	登録件数が表示され、次にやることが案内される。トップにインポート履歴が残る	OP-501_全件成功の完了画面.png	完了画面の全体（成功・失敗の件数と、取り込まなかった行の一覧が写ること）	完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	件数が実際の登録数と一致すること	AC-041 / AC-045 / AC-048	10番 完了画面で確認する			
P5_完了	OP-502	2	取り込まなかった行の開示	前提データ: なし	エラー行を除いて実行する	完了画面に「取り込まなかった行（N件）」が表示され、除外理由が分かる	OP-502_取り込まなかった行の開示.png	完了画面の全体（成功・失敗の件数と、取り込まなかった行の一覧が写ること）	完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	全件成功時も表示されること	AC-042	10番 確認画面で除いた行 ／ 11番 エラー行を除いてインポート実行			仕様§9.7
P5_完了	OP-503	2	失敗行CSVのダウンロードと書式	前提データ: なし	部分成功の完了画面で「失敗した行をCSVでダウンロード」を押し、Excelで開く	失敗した行だけが落ちる。文字化けせず、失敗理由の列が付いている。理由列を削除すればそのまま再アップロードでき、受理される	OP-503_失敗行CSVのダウンロー.png	ダウンロードした失敗行CSVをExcelで開いた画面（行数と理由列が読めること）	完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	成功分は残り、失敗分だけ回収できること	AC-044 / AC-043 / AC-046	10番 一部が登録できなかった場合			
P5_完了	OP-505	2	招待メールの送信	前提データ: D4（④従業員5件）／D5（⑤管理者4件）	④従業員・⑤管理者を取り込んだ後、招待メールを送信する	今回登録した新規登録者にだけ届く（届いた通数＝新規登録者の人数）。既に招待済みの人・スキップ判定だった人への送信＝0通	OP-505_招待メールの送信.png	受信した招待メールの一覧（宛先と通数）と、送信ボタンを押した直後の完了画面	完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	**既存者に再送すると混乱する。** 送信対象が判定結果と一致すること	AC-047	10番 招待メールを送る			
P6_データ確認	OP-601	2	マスタ3種の反映	前提データ: D1・D2・D3／D1-1	①〜③を取り込んだ後、業態・店舗・雇用区分の各設定画面を開く	3種類とも件数と内容が一致する。②は5列、③は6列すべてが入っている	OP-601_マスタ3種の反映.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 業態 → 業態設定	列の取りこぼしが起きやすい	AC-051	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			仕様§4.4
P6_データ確認	OP-604	2	従業員の反映	前提データ: D4／D4-1	④を取り込んだ後、従業員一覧を開く	氏名・電話番号・メール・雇用区分・店舗・交通費が反映されている（欠落した項目＝0件）	OP-604_従業員の反映.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	交通費と店舗も反映されていること	AC-051	7番 従業員（列と入力内容）			
P6_データ確認	OP-605	2	自動採番されたコードが画面に出る	前提データ: D4（従業員コードを全て空欄）	従業員コードを空欄にして④を取り込み、従業員一覧を開く	一覧の従業員コード列に EMP- で始まる値が表示されている（空欄のまま＝不合格）。採番の重複はCA-071で確認する	OP-605_自動採番されたコードが画.png	従業員一覧の従業員コード列（EMP- で始まる値が読める倍率）	設定 → 従業員 → 従業員一覧	**画面に出るかを見る。** 値の妥当性（重複なし・指定値の保持）はCA-071の担当。重複していないこと	AC-051 / AC-052	7番 従業員（従業員コードは空欄で自動採番）			仕様§8.1
P6_データ確認	OP-606	2	管理者の反映	前提データ: D5	⑤を取り込んだ後、管理者一覧を開く	管理者として登録され、担当店舗が設定されている（担当店舗が空の管理者＝0件）	OP-606_管理者の反映.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 管理者 → 管理者一覧	担当店舗は複数指定できる。カンマ区切りが1件に潰れていないか	AC-051	7番 管理者（管理者名・メールアドレス・担当店舗）			
P6_データ確認	OP-607	2	昇格時の勤務店舗維持	前提データ: D0-3／2店舗所属の従業員＋D5-2（担当店舗1つのみ記載）／D4-5	2店舗に所属する従業員を、担当店舗1つだけで⑤に記載して昇格させる	元の2店舗の所属が維持されている	OP-607_昇格時の勤務店舗維持.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	勤務店舗が消えないこと	AC-053	7番 管理者（勤務店舗は自動的に維持されます）			仕様§7.1
P7_再取り込み	OP-701	4	スキップの動作	前提データ: D4をそのまま再投入／重複時の処理=スキップ／D4-1	同じ④従業員ファイルを「スキップ（既存を保持）」で再取り込みする	既存データが変更されない（変更された項目＝0件）	OP-701_スキップの動作.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single） ／ 完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	既定はスキップ。設定を変えずに実行したときの動作を見る	AC-061	8番 すでに登録されている内容の扱い（スキップ）			
P7_再取り込み	OP-702	4	上書き更新の動作	前提データ: D4の氏名と交通費を変更／重複時の処理=上書き更新	氏名と交通費を変更した④を「上書き更新」で再取り込みする	氏名と交通費が更新される	OP-702_上書き更新の動作.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	テンプレートの全列が更新対象	AC-062	8番 すでに登録されている内容の扱い（上書き更新・従業員のみ）			仕様§4.3
P7_再取り込み	OP-703	4	空欄セルの扱い	前提データ: D4の電話番号を空欄／上書き更新	電話番号を空欄にした④を「上書き更新」で再取り込みする	既存の電話番号が消えずに残る	OP-703_空欄セルの扱い.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	空欄は「変更しない」	AC-063	8番 空欄にした項目は変更されません ／ 12番 入力済みの値を空にしたい			仕様§8.7
P7_再取り込み	OP-704	4	管理者は重複設定が効かない	前提データ: D5-1〜D5-4（⑤管理者。判定4種を含む）	⑤を再取り込みする	「重複時の処理」の設定にかかわらず5分岐で自動判定される	OP-704_管理者は重複設定が効かない.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	管理者データには適用されないこと	AC-065	8番 管理者の判定について（重複時の処理の設定によらない）			
P8_権限	OP-801	2 / 4	権限による出し分け	前提データ: D0-2	オーナーと店長（管理者）でそれぞれインポート画面を開く	オーナーは5種類すべて。店長は①②③が表示されず、④⑤のみ	OP-801_権限による出し分け.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	サイドバー「インポート」→ 取り込む種別の一覧（インポートTOP）	全社マスタを店長が触れないこと	AC-072 / AC-071	13番 権限による違い			
P8_権限	OP-803	2 / 4	担当店舗外の取り込み	前提データ: D0-2	店長で、担当外の店舗名を含む④を取り込む	該当行がエラーになり取り込まれない	OP-803_担当店舗外の取り込み.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	エラーになるのは担当外の行だけ。担当店舗の行は取り込まれること	AC-073	13番 担当店舗以外の店舗名が入った行はエラーになります			
P9_対象外の確認	OP-901	2 / 4	対象外の機能が案内されない	前提データ: なし（対象外機能の案内を見るだけ）	外部勤怠サービスインポート・補完用テンプレート取込・プレビューのデフォルト値設定を確認する	3つとも凍結の案内が出る、または実装対象外として案内されない	OP-901_対象外の機能が案内されない.png	対象外3機能それぞれの凍結の案内	—（画面を使わない。成果物や配布ファイルを開いて確認する）	凍結中（仕様未完成・担当不在）	AC-081 / AC-082	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P1_テンプレートDL	OP-108	2	設定マスタの重複排除	前提データ: D1（①業態3件）に同じ業態名の行を2行追加したファイル	①業態に同じ業態名を2行入れて取り込む	重複が自動で除外され、1件として登録される	OP-108_設定マスタの重複排除.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	「重複は自動で除外されます」と案内が出ること／根拠:	AC-027	7番 業態（同じ業態名は重複を自動で除外）			仕様§4.1・§7.2
P3_プレビュー	OP-311	2	④は単一店舗のみ	前提データ: D4-1 の店舗名を「渋谷店,新宿店」に変えたファイル	④従業員テンプレートの店舗名に「渋谷店,新宿店」と入れる	「渋谷店,新宿店」はエラーになる。カンマ区切りの複数指定は受け付けない	OP-311_④は単一店舗のみ.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	④は単一店舗のみ（README 。2店舗目は取込後に従業員一覧から追加	AC-029	7番 従業員（店舗名は1店舗のみ） ／ 12番 1人を複数の店舗に所属させたい			§1.2・§8.3
P6_データ確認	OP-608	3	複数店舗の後追い設定	前提データ: D4-5（高橋美咲。新宿店で登録済み）	④で登録した従業員に、従業員一覧から2店舗目を追加する	所属店舗が2件になる（渋谷店・新宿店。消えた店舗＝0件）	OP-608_複数店舗の後追い設定.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	この状態がOP-607/CA-061の前提になる／根拠:	AC-029	12番 1人を複数の店舗に所属させたい（2店舗目以降は従業員一覧から）			仕様§8.3
P3_プレビュー	OP-312	2	名称突合の細部	前提データ: D1 に同名の業態を2件登録した状態／D2（②店舗）	同名の業態を2件登録した状態で②を取り込む	DBに同名の業態が複数ある行はエラーになり「同名の業態が複数登録されているため、どちらに紐づけるか判断できません」と出る。前後に空白がある「 飲食店 」はトリムされて正しく引き当てられる	OP-312_名称突合の細部.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	前後の空白のみトリム。全角半角・大文字小文字は正規化しない（README ／DB側に同名が複数ある場合はエラー	AC-028 / AC-036	11番 よくあるエラー（〇〇が登録されていません）			§4.5-6
P7_再取り込み	OP-705	4	雇用区分の突合キー	前提データ: D3（③雇用区分）。コード指定あり・コード空欄で同名の2パターン	コードを指定して名称だけ変更した③、コードを空欄にし既存と同じ名称の③を、それぞれ再取り込みする	コードがあればコード優先で突合。空欄なら名称で突合する	OP-705_雇用区分の突合キー.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 雇用区分 → 雇用区分設定	突合キーを取り違えると別レコードが増える	AC-064	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P2_アップロード	OP-218	2	給与体系は時給・月給のみ	前提データ: ③の給与体系に「日給」（D3-7）	③雇用区分の給与体系に「日給」と入れる	エラー。許可値が「月給/時給」と表示される	OP-218_給与体系は時給・月給のみ.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	日給は選択できないこと／根拠: 。DBのenumが2値のため	AC-015	7番 雇用区分（給与体系は月給または時給）			仕様§8.10
P2_受付拒否	OP-219	2 / 4	受付拒否からの復帰	前提データ: D0-4（501行の②店舗）で拒否させたあと、D2（②店舗）を上げ直す	受付拒否された後、正しいファイルをアップロードし直す	正常に受理され、プレビューに進める	OP-219_受付拒否からの復帰.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	拒否状態が残らないこと／根拠:	AC-014 / AC-114	11番 ファイルが受け付けられない場合（直して再アップロード）			仕様§9.3
P7_再取り込み	OP-707	2	中断して後日再開する	前提データ: D1（①業態）／D2（②店舗）／D3（③雇用区分）	①〜③をアップロードした状態で「一時保存して中断」を押し、後日オンボーディング画面から「続きから再開」を押す	中断地点が保存され、再開すると①〜③はアップロード済みとして復元される。1件も投入していない状態では一時保存を押せない	OP-707_中断して後日再開する.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1）	5種類は1日で揃わない前提の機能	AC-066	3番 途中でやめて、後日続ける（一時保存して中断・続きから再開）			
P0_前提	OP-007	2	モックで期待動作を確認できる	前提データ: なし	https://suguru789987.github.io/rakmy-timerecord-import-spec/ を開く	テンプレート側(s-tpl*)の画面が操作できる。外部勤怠側には凍結バナーが出る	OP-007_モックで期待動作を確認できる.png	モックのテンプレート側画面と、外部勤怠側の凍結バナー	—（画面を使わない。成果物や配布ファイルを開いて確認する）	判定に迷ったらモックで期待動作を確認する／根拠: 仕様書 9. 関連資料	AC-008	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P6_データ確認	OP-609	3	手入力の出口が塞がっていない	前提データ: 管理者の担当店舗を管理者一覧から変更する／退職者を従業員一覧から復帰させる	インポートで登録した従業員の電話番号を編集から消す	3つとも画面から実行できる	OP-609_手入力の出口が塞がっていない.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	インポートでできない操作の受け皿。塞がっているとインポートの仕様が成立しない	AC-057	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P6_データ確認	OP-612	1 / 3	手入力とインポートで同じデータが作れる	前提データ: D1〜D4 と同じ内容を手入力で登録する	従業員一覧の「+ 追加」から1件登録し、入力項目をCSVテンプレートと比べる	登録できる。入力できる項目がテンプレートの列と一致する	OP-612_手入力とインポートで同じ.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定の各一覧画面（業態設定／店舗設定／雇用区分設定／従業員一覧／管理者一覧）	経路による属性欠落を作らない（owner-mock	AC-058 / AC-068	4番 入力する項目はCSVテンプレートと同じです			§3.4.1
P6_データ確認	OP-615	3	インポートしたデータを編集・削除できる	前提データ: なし	インポートで登録した従業員を一覧から編集し、その後削除する。業態・店舗・雇用区分も各設定画面から削除する	いずれも実行できる。削除は確認ダイアログの後に消える	OP-615_インポートしたデータを編.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧	**削除できないと検証の再実行ができない。**インポートに削除は無く、手入力が唯一の出口	AC-060 / AC-059	4番 登録した内容を直す・消す			
P6_データ確認	OP-617	3	削除後に再インポートできる	前提データ: D1（①業態3件）。削除したあと同じファイルを再取り込み	OP-615で削除した従業員を、同じCSVで再度取り込む	「新規登録」として取り込める（判定＝新規登録、取り込み後の件数＝1件）	OP-617_削除後に再インポートできる.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single） ／ 設定 → 従業員 → 従業員一覧	削除がデータに残骸を残していないこと／根拠: 検証の再実行が成立するか	AC-067	12番 登録した内容を削除したい（削除後の再取り込み）			
P0_前提	OP-008	4	設定画面からの起動と方式の再設定	前提データ: なし	業態設定画面のヘッダー「CSVインポート」を押す。インポートのトップで「インポート方式を再設定」を押す	方式選択を経て該当のアップロード画面へ直行する（方式選択が二度出ない）。再設定も動作する	OP-008_設定画面からの起動と方式.png	アップロード完了後のファイル名と件数の表示	設定 → 業態 → 業態設定 の「📥 CSVインポート」→ アップロード（s-tpl-single-businesstype）	URLパラメータで画面が決まること（仕様「もう一つの仕様書との連携」A）／根拠: モックは ?type=businesstype&mode=tpl	AC-009 / AC-006	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P0_前提	OP-009	4	入口による戻り先と一覧の鮮度	前提データ: なし	①設定画面、②左ナビ、③オンボーディングの3経路から入って完了させ、戻った画面を確認する	①は元の設定画面、②はインポートTOP、③は初期セットアップへ戻る。戻った先の一覧に取り込んだデータが反映されている	OP-009_入口による戻り先と一覧の鮮度.png	完了画面の全体（成功・失敗の件数と、取り込まなかった行の一覧が写ること）	完了画面（導入時 モック s-tpl3 ／ 運用時 s-tpl3-single）	元の作業に戻れること／**取り込めたのに一覧が古いと失敗したと誤解する**	AC-069 / AC-010	5番 終わったあとは、入ってきた画面に戻ります			
P7_再取り込み	OP-709	2	中断データが正しく復元される	前提データ: なし	OP-707で中断した後に「続きから再開」し、復元された内容を中断前と見比べる	中断前にアップロードした①〜③の件数と内容が一致する。④以降は未アップロードのまま	OP-709_中断データが正しく復元される.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1）	**復元が壊れると顧客が入力し直しになる。** 件数だけでなく中身も見る	AC-074	3番 途中でやめて、後日続ける（復元される範囲）			
