設計ポイント	条件ID	マイルストーン	満たすべきこと（実装の到達点）	MVP区分	確認する画面	確認の操作	満たしていれば見えるもの	崩れると起きること	仕様の該当箇所	検証ID	実装状況	判定
② 取り返しがつく	AC-043	M3	失敗行をCSVで回収できる	MVP必須	完了	部分成功の完了画面で「失敗した行をCSVでダウンロード」を押し、Excelで開く／入力値: 8件実行し1件が失敗、うちエラー2行を除外していた	失敗した行だけが落ちる。文字化けせず、失敗理由の列が付いている／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	**失敗した行が分からず回収できない。** どれが登録されたか顧客が追えない	フローC／README §7.7	OP-503 / CA-053		
② 取り返しがつく	AC-074	M5	中断したデータが正しく復元される	MVP必須	アップロード画面	OP-707で中断した後に「続きから再開」し、復元された内容を中断前と見比べる	中断前にアップロードした①〜③の件数と内容が一致する。④以降は未アップロードのまま	**再開しても中身が違えば、顧客は入力し直しになる。** 中断機能の意味が無くなる	フローG	OP-709		
② 取り返しがつく	AC-075	M5	中断データが新規の取り込みに混ざらない	MVP必須	アップロード画面	中断した状態のまま「続きから再開」を使わず、インポートを最初から始める	中断分のデータが自動で入らない。空の状態から始まる	**身に覚えのないデータが登録される。** 中断分が新規の取り込みに混ざる	フローG	OP-710		
② 取り返しがつく	AC-014	M1	受付拒否から復帰できる	リリース必須	アップロード	受付拒否された後、正しいファイルをアップロードし直す	拒否後に正しいファイルを上げ直すと受理される	拒否されたあと何をすれば進めるのか分からず止まる	フローC	OP-219		
② 取り返しがつく	AC-046	M3	失敗行CSVがそのまま再アップできる形式	リリース必須	完了	部分成功の完了画面で「失敗した行をCSVでダウンロード」を押し、Excelで開く	失敗した行だけが落ちる。文字化けせず、失敗理由の列が付いている	落としたCSVをそのまま直せず、手作業で作り直しになる	フローC	OP-503		
② 取り返しがつく	AC-066	M5	作業を中断して後日再開できる	リリース必須	アップロード	①〜③をアップロードした状態で「一時保存して中断」を押し、後日オンボーディング画面から「続きから再開」を押す	中断地点が保存され、再開すると①〜③はアップロード済みとして復元される。1件も投入していない状態では一時保存を押せない	5種類を1日で揃えられない顧客が最初からやり直しになる	フローG	OP-707		
③ 同じ人を二重に作らない	AC-025	M2	管理者の判定が自動で行われる	MVP必須	プレビュー	⑤管理者に、未登録・在籍済み・招待未承諾・既に管理者の4パターンを入れる／D5	新規登録・権限付与・差し替え・スキップに正しく振り分けられる。「判定の見方」は既定で折りたたまれている	**店長のアカウントが2つできる。** 打刻の記録が分断され、給与計算が合わなくなる	**設計の背骨④**／フローD	OP-308		
③ 同じ人を二重に作らない	AC-065	M5	管理者に重複時の処理が適用されない	MVP必須	プレビュー	⑤を再取り込みする	「重複時の処理」の設定にかかわらず5分岐で自動判定される	重複時の処理を「上書き」にすると、既存管理者の権限が壊れる	README §8.7	OP-704		
③ 同じ人を二重に作らない	AC-054	M4	新規管理者の担当店舗が正しく入る	リリース必須	管理者一覧	入力値: 未登録の人を⑤に「渋谷店,新宿店」で登録する	既存の所属が無い場合、CSVの値がそのまま登録される	新規管理者に担当店舗が入らず、何も管理できない	README §7.1	CA-062		
④ 入口で止める	AC-011	M1	上限を超えたファイルを受け付けない	MVP必須	アップロード	入力値: 500行 / 501行／入力値: 200行 / 201行／入力値: 5.0MB / 5.1MB／②店舗に501行、④従業員に201行を入れてそれぞれアップロードする／②店舗 501行・④従業員 201行／5MBを超えるファイルをアップロードする／5.1MBのファイル	500行は受理。501行は拒否され、上限と実際の行数がメッセージに出る／200行は受理。201行は拒否される／5.0MBは受理。5.1MBは拒否される／どちらも拒否され、種別ごとの上限（500行／200行）と実際の行数を含むメッセージが出る。確認画面に進めない／「1ファイルあたり5MBまでです」と表示され、プレビューに進まない	**上限超過のまま処理が走り、タイムアウトや部分登録が起きる**	README §7.5	CA-001 / CA-003 / CA-005 / OP-211 / OP-213		
④ 入口で止める	AC-012	M1	壊れたファイルを受け付けない	MVP必須	アップロード	テンプレートをShift_JISで保存してアップロードする／テンプレートをExcelで「CSV（コンマ区切り）」保存＝Shift_JIS／④従業員のテンプレートを②店舗の枠にアップロードする／④従業員のファイルを②店舗の枠へ／ヘッダー行のみのファイルをアップロードする／ヘッダー行のみのファイル	「文字コードがUTF-8ではない可能性があります」と表示される／「テンプレートの列が一致しません」と表示され、必要な列と見つかった列が併記される／「取り込めるデータがありません」と表示される	**壊れたファイルがプレビューまで進み、意味不明なエラーが大量に出る**	README §9.5	OP-214 / OP-215 / OP-216		
④ 入口で止める	AC-013	M1	拒否されたファイルが一覧に残らない	リリース必須	アップロード	②店舗に501行、④従業員に201行を入れてそれぞれアップロードする／②店舗 501行・④従業員 201行	どちらも拒否され、種別ごとの上限（500行／200行）と実際の行数を含むメッセージが出る。確認画面に進めない	拒否されたファイルが残り、取り込んだと誤解する	README §9	OP-211		
④ 入口で止める	AC-033	M3	0件では実行できない	リリース必須	プレビュー	全行がエラーになるファイルを取り込む／入力値: データ行10行（新規6・更新2・エラー2）	実行ボタンが押せない状態になり「取り込めるデータが1件もありません」と表示される／新規6・更新2・エラー2と表示され、実行ボタンは「8件をインポート」と出る	0件で実行でき、「完了」と出て顧客が混乱する	README §9.4	OP-404 / CA-051		
⑤ 判定を隠さない	AC-021	M2	取り込み前に内容と判定を確認できる	MVP必須	プレビュー	入力値: データ行10行（新規6・更新2・エラー2）	新規6・更新2・エラー2と表示され、実行ボタンは「8件をインポート」と出る	**何が登録されるか分からないまま実行させることになる。** 確認画面がこの機能の要	フローA【2】	CA-051		
⑤ 判定を隠さない	AC-022	M2	エラー行が理由とともに分かる	MVP必須	プレビュー	②店舗で郵便番号を空欄にした行を含めて取り込む／D2-3（池袋店／郵便番号 空欄）／②の所属業態に未登録の業態名、④の雇用区分名に未登録の名称を入れる／D2-4・D4-7	該当行が赤くハイライトされ、上部にエラー理由のバナーが出る／どちらもエラー行になり「〇〇が登録されていません。先に①（③）を取り込んでください」と表示される	**なぜ取り込めないのか分からず、顧客が問い合わせる**	フローC	OP-303 / OP-304		
⑤ 判定を隠さない	AC-032	M3	二重に実行されない	MVP必須	実行中	プレビューで実行を押し、続けて複数回押す。実行中にタブを閉じようとする	進捗が表示される。二重に登録されない。離脱しようとすると警告が出る	**二重登録される。** 取り返しがつかない	README §9.1	OP-401		
⑤ 判定を隠さない	AC-042	M3	取り込まれなかった行が分かる	MVP必須	完了	エラー行を除いて実行する／入力値: 8件実行し1件が失敗、うちエラー2行を除外していた	完了画面に「取り込まなかった行（N件）」が表示され、除外理由が分かる／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	**除外した行を忘れる。** 登録されたつもりで運用が始まる	README §7.7	OP-502 / CA-053		
⑤ 判定を隠さない	AC-031	M3	実行中であることが分かる	リリース必須	実行中	プレビューで実行を押し、続けて複数回押す。実行中にタブを閉じようとする	進捗が表示される。二重に登録されない。離脱しようとすると警告が出る	固まったと思って離脱・再実行される	README §9.1	OP-401		
⑤ 判定を隠さない	AC-041	M3	結果が件数で分かる	リリース必須	完了	エラーの無いファイルを取り込む。完了後にインポートのトップ画面を開く／入力値: 8件実行し1件が失敗、うちエラー2行を除外していた	登録件数が表示され、次にやることが案内される。トップにインポート履歴が残る／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	成功したのか失敗したのか分からない	フローA【4】	OP-501 / CA-053		
⑤ 判定を隠さない	AC-047	M3	招待メールを送信できる	リリース必須	完了	④従業員・⑤管理者を取り込んだ後、招待メールを送信する	今回登録した新規登録者にだけ届く。既に招待済みの人・スキップ判定だった人には届かない	登録しても誰もログインできない	フローA【4】	OP-505		
⑤ 判定を隠さない	AC-026	M2	①〜③と④⑤でタブの役割が異なる	改善	プレビュー	①〜③設定マスタと④従業員・⑤管理者のプレビューをそれぞれ開く	①〜③は種別ごとのタブ、④⑤は判定ごとのタブで表示される	タブの役割が種別と判定で混在し、読み違える	仕様書 7.2	OP-301		
⑤ 判定を隠さない	AC-034	M3	実行中の離脱を警告する	改善	実行中	プレビューで実行を押し、続けて複数回押す。実行中にタブを閉じようとする	進捗が表示される。二重に登録されない。離脱しようとすると警告が出る	実行中に離脱され、途中状態になる	README §9.2	OP-401		
⑤ 判定を隠さない	AC-037	M2	判定の凡例が邪魔をしない	改善	プレビュー	⑤管理者に、未登録・在籍済み・招待未承諾・既に管理者の4パターンを入れる／D5	新規登録・権限付与・差し替え・スキップに正しく振り分けられる。「判定の見方」は既定で折りたたまれている	凡例が常時出て一覧が読みにくい	仕様書 4.2	OP-308		
⑤ 判定を隠さない	AC-045	M3	次にやることが案内される	改善	完了	エラーの無いファイルを取り込む。完了後にインポートのトップ画面を開く	登録件数が表示され、次にやることが案内される。トップにインポート履歴が残る	次に何をすればいいか分からず、複数店舗の設定が漏れる	README §9.7	OP-501		
⑤ 判定を隠さない	AC-048	M3	インポート履歴が残る	改善	完了	エラーの無いファイルを取り込む。完了後にインポートのトップ画面を開く	登録件数が表示され、次にやることが案内される。トップにインポート履歴が残る	いつ何を取り込んだか追えない	README §9.6	OP-501		
⑥ 順序と依存	AC-016	M1	取り込み順序が守られている	MVP必須	プレビュー	①業態テンプレートに3件入力してアップロードする／D1（①業態3件）／①業態を取り込む前に②店舗をアップロードする／D2（②店舗）を①未登録の状態で投入	プレビューに3件が「新規」と表示される／②の所属業態が引き当てられずエラーになる	**参照先が未登録で全行エラーになる。** 顧客は原因が分からない	README §1.3	OP-201 / OP-202		
⑥ 順序と依存	AC-051	M4	テンプレートの全列が反映される	MVP必須	業態設定 / 従業員一覧 / 管理者一覧	①〜③を取り込んだ後、業態・店舗・雇用区分の各設定画面を開く／D1・D2・D3／④を取り込んだ後、従業員一覧を開く／D4／従業員コードを空欄にして④を取り込む／D4（従業員コードを全て空欄）／⑤を取り込んだ後、管理者一覧を開く／D5	3種類とも件数と内容が一致する。②は5列、③は6列すべてが入っている／氏名・電話番号・メール・雇用区分・店舗・交通費が反映されている／EMP- で始まるコードが自動で採番されている／管理者として登録され、担当店舗が設定されている	**列が取りこぼされ、登録したはずの情報が入っていない**	README §4.4	OP-601 / OP-604 / OP-605 / OP-606		
⑥ 順序と依存	AC-027	M2	設定マスタの重複が自動で除外される	リリース必須	プレビュー / 業態設定	①業態に同じ業態名を2行入れて取り込む／①業態に同じ業態名を2行／入力値: ①業態に同じ名称を含む5行（うち2行が重複）	重複が自動で除外され、1件として登録される／3件として登録される	同じ業態が2件登録され、以後の参照が壊れる	README §4.1	OP-108 / CA-056		
⑥ 順序と依存	AC-028	M2	名称の突合が一意でない場合はエラー	リリース必須	プレビュー	同名の業態を2件登録した状態で②を取り込む／②の所属業態に「 飲食店 」（前後に半角空白）を入れる	同名が複数ある場合の扱いが定義どおり。前後の空白は正規化されるか、されないなら仕様どおりエラーになる	同名の業態のどちらに紐づくか不定になり、店舗が誤った業態に入る	README §4.5-6	OP-312		
⑥ 順序と依存	AC-064	M5	雇用区分はコード優先で突合される	リリース必須	雇用区分設定	コードを指定して名称だけ変更した③、コードを空欄にし既存と同じ名称の③を、それぞれ再取り込みする	コードがあればコード優先で突合。空欄なら名称で突合する	突合キーを取り違え、別レコードが増える	README §8.6	OP-705		
⑥ 順序と依存	AC-036	M2	名称突合で前後空白が無視される	改善	プレビュー	同名の業態を2件登録した状態で②を取り込む／②の所属業態に「 飲食店 」（前後に半角空白）を入れる	同名が複数ある場合の扱いが定義どおり。前後の空白は正規化されるか、されないなら仕様どおりエラーになる	前後の空白で引き当てに失敗する。Excelの貼り付けで頻出	README §4.5-6	OP-312		
⑦ 値の妥当性	AC-015	M2	給与体系は時給・月給のみ	MVP必須	プレビュー	③雇用区分の給与体系に「日給」と入れる／③の給与体系に「日給」（D3-7）	エラー。許可値が「月給/時給」と表示される	**DB制約違反で登録が落ちる。** enumは時給・月給の2値	README §0.5／§8.10	OP-218		
⑦ 値の妥当性	AC-052	M4	コードが自動採番される	MVP必須	従業員一覧	従業員コードを空欄にして④を取り込む／D4（従業員コードを全て空欄）／入力値: 空欄で5件 / 「EMP-99999」を指定	EMP- で始まるコードが自動で採番されている／空欄分は EMP-xxxxx が重複なく採番される。指定分はそのまま登録される	**コードが重複してDB制約違反になる。** 全社横断でユニーク	README §8.1	OP-605 / CA-071		
⑦ 値の妥当性	AC-091	M2	金額の範囲が守られる	MVP必須	プレビュー	入力値: 0 / 99999999.99 / 100000000	0はエラー（1以上）。99999999.99は登録できる。100000000はエラー	**0円や桁溢れがDBに入る。** 給与計算が壊れる	README §4.5-2	CA-016		
⑦ 値の妥当性	AC-093	M2	文字数の上限が守られる	MVP必須	従業員一覧 / プレビュー	入力値: 100文字 / 101文字／入力値: ②営業時間201文字 / ③雇用区分名101文字 / ③雇用区分コード51文字	100文字は登録できる。101文字はエラー／いずれもエラーになり、列名と上限がメッセージに出る	**DBの桁を超えて登録に失敗する。** どの行かも分からない	README §4.5-4	CA-031 / CA-033		
⑦ 値の妥当性	AC-094	M2	形式チェックが働く	MVP必須	プレビュー / 店舗設定 / 従業員一覧	入力値: ④のメールに「yamada@」／入力値: 150-0002 / 1500002 / 150-00021／入力値: 090ー1234ー5678（全角） / 090-1234-abcd	エラー行として赤く表示され、「メールアドレスの形式が正しくありません」と理由が出る。取り込まれない／前2つは登録できる。3つ目はエラー／全角ハイフンは半角に正規化される。英字混じりはエラー	**誤ったメールアドレスに招待が飛ぶ。** 本人はログインできない	README §4.5	CA-036 / CA-041 / CA-044		
⑦ 値の妥当性	AC-029	M2	④の店舗名は単一である	リリース必須	プレビュー / 従業員一覧	④従業員テンプレートの店舗名に「渋谷店,新宿店」と入れる／④の店舗名に「渋谷店,新宿店」／④で登録した従業員に、従業員一覧から2店舗目を追加する	複数指定は受け付けられない（1店舗として扱われるかエラー）／2店舗の所属になる	複数店舗を書いて取り込めず、原因が分からない	README §8.3	OP-311 / OP-608		
⑦ 値の妥当性	AC-030	M2	金額が正しく解釈される	リリース必須	雇用区分設定 / プレビュー	入力値: ③の金額に「￥200,000円」「２０００００」／入力値: 金額に「二十万円」	どちらも 200000 として登録される／エラー。「金額は半角数字で入力してください」	「200,000」がエラーになり、顧客が原因を特定できない	README §4.5-3	CA-014 / CA-015		
⑦ 値の妥当性	AC-092	M2	時間の範囲が守られる	リリース必須	プレビュー / 雇用区分設定	入力値: 0 / 160 / 1000／入力値: 0 / 20時間 / 999 / 1000	0と1000はエラー。160は登録できる／0と999は登録できる。1000はエラー。「20時間」は単位付きのためエラー	契約労働時間0で登録され、残業計算が破綻する	README §4.5-3	CA-021 / CA-024		
⑦ 値の妥当性	AC-056	M4	従業員コードを指定できる	改善	従業員一覧	入力値: 空欄で5件 / 「EMP-99999」を指定	空欄分は EMP-xxxxx が重複なく採番される。指定分はそのまま登録される	顧客の既存コード体系を持ち込めない	README §8.1	CA-071		
⑧ 権限の境界	AC-072	M6	管理者は従業員と管理者のみ	MVP必須	インポート	オーナーと店長（管理者）でそれぞれインポート画面を開く	オーナーは5種類すべて。店長は①②③が表示されず、④⑤のみ	**店長が全社マスタを書き換えられる。** 他店舗に影響が及ぶ	フローF	OP-801		
⑧ 権限の境界	AC-073	M6	管理者は担当店舗の範囲に限られる	MVP必須	プレビュー	店長で、担当外の店舗名を含む④を取り込む	該当行がエラーになり取り込まれない	**店長が他店舗の従業員を登録できる。** 権限設計が破綻する	フローF	OP-803		
⑧ 権限の境界	AC-071	M6	オーナーは5種別すべて取り込める	リリース必須	インポート	オーナーと店長（管理者）でそれぞれインポート画面を開く	オーナーは5種類すべて。店長は①②③が表示されず、④⑤のみ	オーナーが必要な種別を取り込めない	フローF	OP-801		
⑧ 権限の境界	AC-076	M6	店長が担当店舗の従業員を取り込める	リリース必須	プレビュー／従業員一覧	店長（管理者）で、担当店舗のみの④従業員ファイルを取り込む	全行が登録される。担当店舗の従業員として正しく反映される	店長が自店舗の従業員すら登録できず、機能が使えない	フローF	OP-804		
⑨ 手入力との分担	AC-057	M6	インポートが案内する出口が塞がっていない	MVP必須	従業員一覧	インポートで登録した従業員の電話番号を編集から消す／管理者の担当店舗を管理者一覧から変更する／退職者を従業員一覧から復帰させる	値の削除・管理者の担当店舗変更・退職者の復帰が、手入力で実行できる	**インポートの仕様が成立しない。** 「できないこと」の受け皿が無くなる	仕様書「インポート単体では成立しない仕様」	OP-609		
⑨ 手入力との分担	AC-059	M6	インポートしたデータが手入力で扱える	MVP必須	従業員一覧	インポートで登録した従業員を一覧から編集し、その後削除する。業態・店舗・雇用区分も各設定画面から削除する	いずれも実行できる。削除は確認ダイアログの後に消える	**取り込んだデータを後から直せない。** 運用が回らない	仕様書「操作ごとの対応」	OP-615		
⑨ 手入力との分担	AC-058	M6	登録経路によるスキーマの差異が無い	リリース必須	各設定画面	従業員一覧の「+ 追加」から1件登録し、入力項目をCSVテンプレートと比べる	手入力の登録モーダルとCSVテンプレートで入力項目が一致する	経路によって項目が欠落し、データが揃わない	owner-mock §3.4.1	OP-612		
⑨ 手入力との分担	AC-067	M6	削除後に再インポートできる	リリース必須	プレビュー／従業員一覧	OP-615で削除した従業員を、同じCSVで再度取り込む	削除した対象を同じCSVで再度取り込むと「新規登録」になる	削除の残骸が残り、再取り込みできない	仕様書「削除について」	OP-617		
⑨ 手入力との分担	AC-069	M6	戻った先の一覧が最新である	リリース必須	完了画面	①設定画面、②左ナビ、③オンボーディングの3経路から入って完了させ、戻った画面を確認する	①は元の設定画面、②はインポートTOP、③は初期セットアップへ戻る。戻った先の一覧に取り込んだデータが反映されている	取り込めたのに一覧が古く、失敗したと誤解する	仕様書「連携要件C」	OP-009		
⑨ 手入力との分担	AC-068	M6	手入力とインポートで同じデータが作れる	改善	各設定画面	従業員一覧の「+ 追加」から1件登録し、入力項目をCSVテンプレートと比べる	登録できる。入力できる項目がテンプレートの列と一致する	手入力とインポートで作れるデータが違ってしまう	owner-mock §3.4.1	OP-612		
⑩ 入口と戻り先	AC-009	M1	設定画面から方式選択なしで該当画面に着く	リリース必須	業態設定→インポート	業態設定画面のヘッダー「CSVインポート」を押す。インポートのトップで「インポート方式を再設定」を押す	方式選択を経て該当のアップロード画面へ直行する（方式選択が二度出ない）。再設定も動作する	設定画面のリンクを踏んでも方式選択が再度出る。**パラメータ名が2つの仕様で食い違っている（要確定）**	仕様書「連携要件A」	OP-008		
⑩ 入口と戻り先	AC-010	M1	入口ごとに正しい場所へ戻る	リリース必須	完了画面	①設定画面、②左ナビ、③オンボーディングの3経路から入って完了させ、戻った画面を確認する	①は元の設定画面、②はインポートTOP、③は初期セットアップへ戻る。戻った先の一覧に取り込んだデータが反映されている	元の作業に戻れず、運用で使われなくなる	仕様書「入口と取り込み範囲」	OP-009		
⑩ 入口と戻り先	AC-006	M1	インポート方式を再設定できる	改善	業態設定→インポート	業態設定画面のヘッダー「CSVインポート」を押す。インポートのトップで「インポート方式を再設定」を押す	方式選択を経て該当のアップロード画面へ直行する（方式選択が二度出ない）。再設定も動作する	方式を選び直せず、間違えるとやり直しになる	README §9	OP-008		
⑪ 配布物	AC-001	M1	テンプレートを5種類ダウンロードできる	MVP必須	インポート	①〜⑤の「テンプレートDL」を順に押し、5ファイルをExcelで開く	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	**テンプレートが文字化けし、そもそも入力できない**	README §9.5	OP-101		
⑪ 配布物	AC-002	M1	配布テンプレートのサンプル行にコードが入っていない	MVP必須	インポート	①〜⑤の「テンプレートDL」を順に押し、5ファイルをExcelで開く	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	**サンプルのコードが他社と衝突する。** 全社横断でユニークなため	README §8.1	OP-101		
⑪ 配布物	AC-003	M1	⑤管理者に権限を選ぶ列が無い	リリース必須	インポート	①〜⑤の「テンプレートDL」を順に押し、5ファイルをExcelで開く	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	存在しない権限列を顧客が埋め、混乱する	README §7.4	OP-101		
⑪ 配布物	AC-004	M1	②店舗の営業時間が1列である	リリース必須	インポート	①〜⑤の「テンプレートDL」を順に押し、5ファイルをExcelで開く	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	列構成がDBと合わず取り込めない	README §7.3	OP-101		
⑫ 対象外	AC-081	—	外部勤怠サービスインポートは対象外	—	インポートのトップ	外部勤怠サービスインポート・補完用テンプレート取込・プレビューのデフォルト値設定を確認する	3つとも凍結の案内が出る、または実装対象外として案内されない	凍結中の機能を実装対象と誤解する	README §2（凍結）	OP-901		
⑫ 対象外	AC-082	—	補完テンプレート・デフォルト値設定は対象外	—	補完テンプレート／プレビュー	外部勤怠サービスインポート・補完用テンプレート取込・プレビューのデフォルト値設定を確認する	3つとも凍結の案内が出る、または実装対象外として案内されない	外部勤怠専用の機能を実装対象と誤解する	README §2（凍結）	OP-901		
⑬ 検証の前提	AC-005	—	検証環境と初期データが整っている	—	ログイン	Stagingにオーナーでログインし、業態・店舗・雇用区分・従業員・管理者が0件であることを確認。取り込み方式に「テンプレート」を選ぶ。検証開始日を記入する	ダッシュボードが表示される。5種類すべてが0件。方式がテンプレートになっている	本番に接続する／既存データが混ざり判定が読めない	仕様書 8.1	OP-001		
⑬ 検証の前提	AC-007	—	新規登録と運用更新を分けて検証する	—	ログイン	Stagingにオーナーでログインし、業態・店舗・雇用区分・従業員・管理者が0件であることを確認。取り込み方式に「テンプレート」を選ぶ。検証開始日を記入する	ダッシュボードが表示される。5種類すべてが0件。方式がテンプレートになっている	5分岐や重複時の処理が発生せず、検証にならない	仕様書「新規登録と運用更新の違い」	OP-001		
⑬ 検証の前提	AC-008	—	モックで期待動作を確認できる	—	モック（公開URL）	https://suguru789987.github.io/rakmy-timerecord-import-spec/ を開く	テンプレート側(s-tpl*)の画面が操作できる。外部勤怠側には凍結バナーが出る	期待動作の基準が無く、合否を判断できない	モック	OP-007		
